date,predicted_accidents,lower_ci,upper_ci
2025-03-07,,-5843.953882532692,10492.708910418602
2025-03-08,,-5929.556475796575,10448.09013433102
2025-03-09,,-6008.35934457486,10411.475012127852
2025-03-10,,-5974.724675758673,10474.013503224087
2025-03-11,,-6071.938894412029,10423.981027650258
2025-03-12,,-6211.5047871798415,10366.616623775855
2025-03-13,,-6109.324803216439,10525.839432986579
2025-03-14,,-5975.394979621175,10688.324872469428
2025-03-15,,-6058.921765484851,10639.652196609342
2025-03-16,,-6131.800356173266,10603.231554826143
2025-03-17,,-6091.411674692382,10667.709505177678
2025-03-18,,-6176.398328450681,10621.581024908477
2025-03-19,,-6306.573078603775,10560.234493682638
2025-03-20,,-6209.158056685468,10704.986588083957
2025-03-21,,-6082.598282864568,10854.911373597984
2025-03-22,,-6164.107041168146,10803.131766764258
2025-03-23,,-6231.793832570324,10767.045585823773
2025-03-24,,-6185.892029268945,10833.067973183099
2025-03-25,,-6260.292037027266,10790.754972221948
2025-03-26,,-6382.396108821753,10726.517728644698
2025-03-27,,-6289.808363701361,10858.535077113042
2025-03-28,,-6170.12583987216,10997.367395883533
2025-03-29,,-6249.642830456713,10943.26605073137
2025-03-30,,-6312.758453445247,10907.606225358231
2025-03-31,,-6262.397977417646,10974.797882806984
2025-04-01,,-6327.593304309847,10936.149154799985
2025-04-02,,-6442.685560770173,10869.87763171508
2025-04-03,,-6354.883403263646,10990.626834958102
2025-04-04,,-6241.595496241818,11119.625539345045
2025-04-05,,-6319.1301974716625,11063.857179455768
2025-04-06,,-6378.205407410863,11028.682924506837
2025-04-07,,-6324.285833049858,11096.696085085669
2025-04-08,,-6381.449716532434,11061.524987848208
2025-04-09,,-6490.389395197725,10993.89837707682
2025-04-10,,-6407.263143289115,11104.63001695629
2025-04-11,,-6299.908002327826,11224.880444498056
2025-04-12,,-6375.4620939774795,11167.992838370847
2025-04-13,,-6430.953922087125,11133.340911458656
2025-04-14,,-6374.244551255645,11201.858523895597
2025-04-15,,-6424.379311743537,11169.960531583925
2025-04-16,,-6527.870672235345,11101.521839526536
2025-04-17,,-6449.26710250838,11203.310414653159
2025-04-18,,-6347.409372308294,11315.752404784747
2025-04-19,,-6420.98219085499,11258.204562781317
2025-04-20,,-6473.286224009408,11224.096195221711
2025-04-21,,-6414.445776999544,11292.832755421789
2025-04-22,,-6458.412061089984,11263.996835942959
2025-04-23,,-6557.037356625722,11195.182814135947
2025-04-24,,-6482.776534814377,11288.95739938605
2025-04-25,,-6386.010027177763,11394.40770159991
2025-04-26,,-6457.601816612856,11336.584296909783
2025-04-27,,-6507.061799228861,11303.029973461696
2025-04-28,,-6446.654499687644,11371.730902660154
2025-04-29,,-6485.194391761082,11345.74687341308
2025-04-30,,-6579.438722174006,11276.910302482898
2025-05-01,,-6509.325685103057,11363.478582312851
2025-05-02,,-6417.274154188664,11462.649095785822
2025-05-03,,-6486.8879221235875,11404.87211073015
2025-05-04,,-6533.803440364143,11371.874909622129
2025-05-05,,-6472.312361711218,11440.315103288318
2025-05-06,,-6506.067969544467,11416.978321489096
2025-05-07,,-6596.338336751429,11348.404901185477
2025-05-08,,-6530.17122676863,11428.472336454099
2025-05-09,,-6442.4879690891175,11521.985163497317
2025-05-10,,-6510.1304556937375,11464.523437027578
2025-05-11,,-6554.763205407474,11432.081387098777
2025-05-12,,-6492.601478847152,11500.063318641096
2025-05-13,,-6522.1300900520455,11479.177583064664
2025-05-14,,-6608.770217902664,11411.098931459357
2025-05-15,,-6546.345934450507,11485.284266037452
2025-05-16,,-6462.7126759251305,11573.684272921499
2025-05-17,,-6528.394759707211,11516.761421221403
2025-05-18,,-6570.973739437886,11484.869176757744
2025-05-19,,-6508.49405368413,11552.220794414086
2025-05-20,,-6534.280636167241,11533.600037712353
2025-05-21,,-6617.582634689865,11466.203828887072
2025-05-22,,-6558.700726938823,11535.05178643575
2025-05-23,,-6478.826096986051,11618.817176273258
2025-05-24,,-6542.562847083838,11562.618226083752
2025-05-25,,-6583.288715322462,11531.268261320576
2025-05-26,,-6520.79142615956,11597.840826215675
2025-05-27,,-6543.259033047858,11581.309987116934
2025-05-28,,-6623.472671850044,11514.747948468817
2025-05-29,,-6567.93797402093,11578.739733918392
2025-05-30,,-6491.5557626102,11658.29100871946
2025-05-31,,-6553.366274520691,11602.967994475848
2025-06-01,,-6592.415043321327,11572.151455966758
2025-06-02,,-6530.155134861622,11637.817412227574
2025-06-03,,-6549.673630232319,11623.212753017946
2025-06-04,,-6627.013774041354,11557.607037651132
2025-06-05,,-6574.63813659203,11617.169097349053
2025-06-06,,-6501.505462256982,11692.8766976399
2025-06-07,,-6561.412566830259,11638.553412545378
2025-06-08,,-6598.938758759478,11608.260725468841
2025-06-09,,-6537.131844730526,11672.911656780665
2025-06-10,,-6554.02526618758,11660.08070899786
2025-06-11,,-6628.677879850025,11595.529018290343
2025-06-12,,-6579.28124852077,11651.04040078705
2025-06-13,,-6509.176720378904,11723.231247802012
2025-06-14,,-6567.2066250056605,11670.007295864842
2025-06-15,,-6603.345989262122,11640.228591988045
2025-06-16,,-6542.173504014196,11703.773295442332
2025-06-17,,-6556.726306603679,11692.574560888814
2025-06-18,,-6628.853334513258,11629.154294544684
2025-06-19,,-6582.264359023871,11680.952874121622
2025-06-20,,-6514.986285769888,11749.915993190158
2025-06-21,,-6571.168186195675,11697.870258040766
2025-06-22,,-6606.040047783496,11668.595673662378
2025-06-23,,-6545.653748087481,11730.958366539458
2025-06-24,,-6558.11612183671,11721.260862389605
2025-06-25,,-6627.859473455414,11659.032503930874
2025-06-26,,-6583.915778175935,11707.420270873135
2025-06-27,,-6519.280456747905,11773.411639915275
2025-06-28,,-6573.646144256323,11722.605263109253
2025-06-29,,-6607.355444286184,11693.825141836593
2025-06-30,,-6547.881321288836,11754.943807169058
2025-07-01,,-6558.473735772768,11746.62651730372
2025-07-02,,-6625.958555491139,11685.63641294579
2025-07-03,,-6584.506769068976,11730.883991515442
2025-07-04,,-6522.346871979759,11794.130732068777
2025-07-05,,-6574.930351499461,11744.609676116874
2025-07-06,,-6607.569425072179,11716.31470186041
2025-07-07,,-6549.111108966777,11776.139572381438
2025-07-08,,-6558.028208804641,11769.090848380081
2025-07-09,,-6623.365568846358,11709.373500634938
2025-07-10,,-6584.2611842294355,11751.724023275725
2025-07-11,,-6524.424255291517,11812.428030895775
2025-07-12,,-6575.261383810272,11764.225288816788
2025-07-13,,-6606.911513231454,11736.406567642542
2025-07-14,,-6549.553239933559,11794.898743833795
2025-07-15,,-6556.967192357963,11789.01568581782
2025-07-16,,-6620.256317747828,11730.595656018055
2025-07-17,,-6583.363435391824,11770.268097525837
2025-07-18,,-6525.710497336191,11828.60919215613
2025-07-19,,-6574.838647869101,11781.746694821266
2025-07-20,,-6605.5714222971865,11754.395799449605
2025-07-21,,-6549.380620766389,11811.52599507781
2025-07-22,,-6555.443998580387,11806.7138331723
2025-07-23,,-6616.774110621187,11749.607326719084
2025-07-24,,-6581.965103931978,11786.799382889634
2025-07-25,,-6526.369377285029,11842.93804679303
2025-07-26,,-6573.827130891429,11797.428310962405
2025-07-27,,-6603.705638357298,11770.53729817518
2025-07-28,,-6548.7351885332255,11826.284705420007
2025-07-29,,-6553.5834576201305,11822.456195859471
2025-07-30,,-6613.035304958816,11766.672388511808
2025-07-31,,-6580.190436829902,11801.562968688953
2025-08-01,,-6526.5361667233965,11855.642728993025
2025-08-02,,-6572.363033258147,11811.490282202909
2025-08-03,,-6601.44290691467,11785.051690833998
2025-08-04,,-6547.733111083776,11839.40295651215
2025-08-05,,-6551.486780268173,11836.4778015835
2025-08-06,,-6609.133913133312,11782.019953223473
2025-08-07,,-6578.140924832817,11814.771344194225
2025-08-08,,-6526.322310737816,11866.920848471143
2025-08-09,,-6570.558477858987,11824.123461432977
2025-08-10,,-6598.888815044426,11798.130296702537
2025-08-11,,-6546.4691194925235,11851.078600946765
